Experiment,Sensitivity,Specificity,Precission,Recall,Accuracy
HAM10000_MbV2,0.8333333333333334,0.7459016393442623,0.7327586206896551,0.8333333333333334,0.7857142857142857
HAM10000_MbV2_CA,0.8333333333333334,0.8278688524590164,0.8018867924528302,0.8333333333333334,0.8303571428571429
HAM10000_MbV2_Reduced,0.8431372549019608,0.8032786885245902,0.7818181818181819,0.8431372549019608,0.8214285714285714
HAM10000_MbV2_CA_Reduced,0.8235294117647058,0.8524590163934426,0.8235294117647058,0.8235294117647058,0.8392857142857143
HAM_norm_MbV2,0.8529411764705882,0.7622950819672131,0.75,0.8529411764705882,0.8035714285714286
HAM_norm_MbV2_CA,0.8137254901960784,0.8442622950819673,0.8137254901960784,0.8137254901960784,0.8303571428571429
HAM_norm_MbV2_Reduced,0.8333333333333334,0.7950819672131147,0.7727272727272727,0.8333333333333334,0.8125
HAM_norm_MbV2_CA_Reduced,0.8235294117647058,0.8524590163934426,0.8235294117647058,0.8235294117647058,0.8392857142857143
